Action,Custom label (SKU),Category ID,Title,Relationship,Relationship details,Start price,Quantity,Condition ID,Description,Format,Duration,Item photo URL,PostalCode,Country,Currency,SiteID,C:ShippingPolicy,C:PaymentPolicy,C:ReturnPolicy,Brand,P:UPC
Add,Coke Can Magic Trick Box,11739,"Coke Can Magic Trick Box: Self-Working Illusion, DIY or Assembled",,assembly=kit;assembled;Deluxe,,,1000,"<p>Make a Coke can appear out of thin air. In fact, any small item you choose can be made to instantly appear inside the empty box. This visual illusion can be performed in plain sight to a widely spread audience without even needing to close the lid. It is a self-working mechanism that can be performed with only a little practice. A performance tutorial video and written instructions are included. Build it yourself from the precut parts or purchase the fully assembled trick ready to go. You will need to find your own regular sized Coke can. Made from laser-cut birch plywood. Buy the kit to assemble yourself, or buy it ready assembled with black interior paint on 3 walls. I now also make a deluxe collector's edition. This comes fully assembled with 3 black painted interior walls, additional exterior ornamental panels and a clear protective coating over the wood.</p>",FixedPrice,GTC,https://i.etsystatic.com/25031074/r/il/66038a/8060809750/il_fullxfull.8060809750_ocm1.jpg|https://i.etsystatic.com/25031074/r/il/2f7ecd/7050406362/il_fullxfull.7050406362_rnw3.jpg|https://i.etsystatic.com/25031074/r/il/a1d95c/7050292090/il_fullxfull.7050292090_8sky.jpg|https://i.etsystatic.com/25031074/r/il/c3f28c/7098370331/il_fullxfull.7098370331_hfsv.jpg|https://i.etsystatic.com/25031074/r/il/eb215a/7151648875/il_fullxfull.7151648875_2txh.jpg|https://i.etsystatic.com/25031074/r/il/3f603c/7118182922/il_fullxfull.7118182922_2qd5.jpg|https://i.etsystatic.com/25031074/r/il/01d8fb/7118182928/il_fullxfull.7118182928_lbwk.jpg|https://i.etsystatic.com/25031074/r/il/2ca5db/7166153393/il_fullxfull.7166153393_r78e.jpg|https://i.etsystatic.com/25031074/r/il/4bcb46/8060811652/il_fullxfull.8060811652_2ozd.jpg|https://i.etsystatic.com/25031074/r/il/6501a2/8108732995/il_fullxfull.8108732995_l9r9.jpg,7306,AU,AUD,15,REPLACE_WITH_SHIPPING_POLICY,REPLACE_WITH_PAYMENT_POLICY,REPLACE_WITH_RETURN_POLICY,Contraption Cart,
,Coke Can Magic Trick Box / kit,,,Variation,assembly=kit,50.00,2,,,,,,,,,,,,,,Does not apply
,Coke Can Magic Trick Box / assembled,,,Variation,assembly=assembled,70.00,0,,,,,,,,,,,,,,Does not apply
,Coke Can Magic Trick Box / deluxe,,,Variation,assembly=Deluxe,200.00,0,,,,,,,,,,,,,,Does not apply
Add,Magic Pencil Box,11739,"Magic Trick Pencil Box Kit: Wooden 3D Puzzle, STEM Toy",,assembly=kit;assembled,,,1000,"<p>This wooden secret box allows you to perform a magic trick. The magician slides the pencil into the box, then effortlessly slides out the middle of the box, breaking the pencil into 3 pieces. The broken pieces can be removed for inspection then returned to the box. The middle is then pushed back into place and the pencil slid out restored magicaly back into one. All of the parts and instructions are included for you to build the box yourself. This is a great little DIY construction project that you can perform an illusion with afterwards.</p><p>This is the physical kit. Please see my other listings for the digital plans.</p>",FixedPrice,GTC,https://i.etsystatic.com/25031074/r/il/5c16f8/8213336579/il_fullxfull.8213336579_a7e0.jpg|https://i.etsystatic.com/25031074/r/il/8053a8/8165404936/il_fullxfull.8165404936_379w.jpg|https://i.etsystatic.com/25031074/r/il/0810f1/8213336569/il_fullxfull.8213336569_nask.jpg|https://i.etsystatic.com/25031074/r/il/5eab09/8213336571/il_fullxfull.8213336571_8m4s.jpg|https://i.etsystatic.com/25031074/r/il/801db7/8165404946/il_fullxfull.8165404946_p14d.jpg,7306,AU,AUD,15,REPLACE_WITH_SHIPPING_POLICY,REPLACE_WITH_PAYMENT_POLICY,REPLACE_WITH_RETURN_POLICY,Contraption Cart,
,Magic Pencil Box / kit,,,Variation,assembly=kit,45.00,7,,,,,,,,,,,,,,Does not apply
,Magic Pencil Box / assembled,,,Variation,assembly=assembled,65.00,0,,,,,,,,,,,,,,Does not apply
Add,Sword Through Finger,11739,"Sword Through Finger Magic Trick, laser cut illusion puzzle, wooden DIY kit",,assembly=kit;assembled,,,1000,"<p>Magically push a wooden sword right through your finger with this secret contraption. It comes either fully assembled, or as a kit with instructions so that you can build it yourself. This gimmick is a fun craft project for kids and adults and an entertaining addition to your magician's performance.</p><p>See all of my Magic tricks at</p><p>https://contraptioncart.etsy.com?section_id=55798303</p><p>To keep up to date with my upcoming designs, please follow me on instagram @contraptioncart</p>",FixedPrice,GTC,https://i.etsystatic.com/25031074/r/il/6131c9/7304342262/il_fullxfull.7304342262_3pqw.jpg|https://i.etsystatic.com/25031074/r/il/d70d0d/7304342300/il_fullxfull.7304342300_h37t.jpg|https://i.etsystatic.com/25031074/r/il/20486a/7352295687/il_fullxfull.7352295687_f2yh.jpg|https://i.etsystatic.com/25031074/r/il/080294/7304342350/il_fullxfull.7304342350_ii9w.jpg|https://i.etsystatic.com/25031074/r/il/f273fe/7304342352/il_fullxfull.7304342352_740i.jpg|https://i.etsystatic.com/25031074/r/il/131445/7352295749/il_fullxfull.7352295749_1s3b.jpg|https://i.etsystatic.com/25031074/r/il/d4aa6d/7314637021/il_fullxfull.7314637021_rtz3.jpg,7306,AU,AUD,15,REPLACE_WITH_SHIPPING_POLICY,REPLACE_WITH_PAYMENT_POLICY,REPLACE_WITH_RETURN_POLICY,Contraption Cart,
,Sword Through Finger / kit,,,Variation,assembly=kit,40.00,12,,,,,,,,,,,,,,Does not apply
,Sword Through Finger / assembled,,,Variation,assembly=assembled,60.00,0,,,,,,,,,,,,,,Does not apply
